PU;NAME;WGMS_ID;SURVEY_DATE;REFERENCE_DATE;AREA;ANN_BAL;ANN_BAL_UNC;INVESTIGATOR;SPONS_AGENCY;REFERENCE;REMARKS
AQ;G1;3925;19749999;19739999;;-100;;;;"Data from Cogley (2008, updated 2013) based on: Kasser (1973); Fluctuations of Glaciers (1965-1970), Vol. II, 357 p. Orheim et al. (1982); Annals of Glaciology, 3, 233-238 p.";
AQ;GALINDEZ ICE CAP;3975;19609999;19599999;;116;;;;"Data from Cogley (2008, updated 2013) based on: Sadler (1968); British Antarctic Survey Bulletin, 17, 21-49 p. Thomas (1963); British Antarctic Survey Bulletin, 2, 27-43 p.";Multi-annual observation (695 mm w.e.) evenly distributed to corresponding years.
AQ;GALINDEZ ICE CAP;3975;19619999;19609999;;116;;;;"Data from Cogley (2008, updated 2013) based on: Sadler (1968); British Antarctic Survey Bulletin, 17, 21-49 p. Thomas (1963); British Antarctic Survey Bulletin, 2, 27-43 p.";Multi-annual observation (695 mm w.e.) evenly distributed to corresponding years.
AQ;GALINDEZ ICE CAP;3975;19629999;19619999;;116;;;;"Data from Cogley (2008, updated 2013) based on: Sadler (1968); British Antarctic Survey Bulletin, 17, 21-49 p. Thomas (1963); British Antarctic Survey Bulletin, 2, 27-43 p.";Multi-annual observation (695 mm w.e.) evenly distributed to corresponding years.
AQ;GALINDEZ ICE CAP;3975;19639999;19629999;;116;;;;"Data from Cogley (2008, updated 2013) based on: Sadler (1968); British Antarctic Survey Bulletin, 17, 21-49 p. Thomas (1963); British Antarctic Survey Bulletin, 2, 27-43 p.";Multi-annual observation (695 mm w.e.) evenly distributed to corresponding years.
AQ;GALINDEZ ICE CAP;3975;19649999;19639999;;116;;;;"Data from Cogley (2008, updated 2013) based on: Sadler (1968); British Antarctic Survey Bulletin, 17, 21-49 p. Thomas (1963); British Antarctic Survey Bulletin, 2, 27-43 p.";Multi-annual observation (695 mm w.e.) evenly distributed to corresponding years.
AQ;GALINDEZ ICE CAP;3975;19659999;19649999;;116;;;;"Data from Cogley (2008, updated 2013) based on: Sadler (1968); British Antarctic Survey Bulletin, 17, 21-49 p. Thomas (1963); British Antarctic Survey Bulletin, 2, 27-43 p.";Multi-annual observation (695 mm w.e.) evenly distributed to corresponding years.
AQ;HOWARD;3973;19949999;19939999;;14;;;;"Data from Cogley (2008, updated 2013) based on: Fountain et al. (2006); J Glaciol, 52(178), 451-462 p.";
AQ;HOWARD;3973;19959999;19949999;;42;;;;"Data from Cogley (2008, updated 2013) based on: Fountain et al. (2006); J Glaciol, 52(178), 451-462 p.";
AQ;HOWARD;3973;19969999;19959999;;-36;;;;"Data from Cogley (2008, updated 2013) based on: Fountain et al. (2006); J Glaciol, 52(178), 451-462 p.";
AQ;HOWARD;3973;19979999;19969999;;21;;;;"Data from Cogley (2008, updated 2013) based on: Fountain et al. (2006); J Glaciol, 52(178), 451-462 p.";
AQ;HOWARD;3973;19989999;19979999;;4;;;;"Data from Cogley (2008, updated 2013) based on: Fountain et al. (2006); J Glaciol, 52(178), 451-462 p.";
AQ;HOWARD;3973;19999999;19989999;;15;;;;"Data from Cogley (2008, updated 2013) based on: Fountain et al. (2006); J Glaciol, 52(178), 451-462 p.";
AQ;HOWARD;3973;20009999;19999999;;-33;;;;"Data from Cogley (2008, updated 2013) based on: Fountain et al. (2006); J Glaciol, 52(178), 451-462 p.";
AQ;HOWARD;3973;20019999;20009999;;-15;;;;"Data from Cogley (2008, updated 2013) based on: Fountain et al. (2006); J Glaciol, 52(178), 451-462 p.";
AQ;HURD;3367;20020109;20010220;4.034;-140;70;Francisco Navarro;Universidad Polit‚cnica de Madrid (UPM)-ETSI Telecomunicaci¢n, Av. Complutense, 30, 28040 Madrid, Spain;;Measured twice per season, late Nov/early Dec. and late Feb./early March. First one fits well to start of melting season, but we miss ca. 1 month of melting at end of summer. Summer & winter balances corrected for this comparing stake readings at end of summer with stake readings, snow depths & pits at beginning of next winter.
AQ;HURD;3367;20030214;20020110;4.034;-520;70;Francisco Navarro;Universidad Polit‚cnica de Madrid (UPM)-ETSI Telecomunicaci¢n, Av. Complutense, 30, 28040 Madrid, Spain;;Measured twice per season, late Nov/early Dec. and late Feb./early March. First one fits well to start of melting season, but we miss ca. 1 month of melting at end of summer. Summer & winter balances corrected for this comparing stake readings at end of summer with stake readings, snow depths & pits at beginning of next winter.
AQ;HURD;3367;20040217;20030215;4.034;10;90;Francisco Navarro;Universidad Polit‚cnica de Madrid (UPM)-ETSI Telecomunicaci¢n, Av. Complutense, 30, 28040 Madrid, Spain;;Measured twice per season, late Nov/early Dec. and late Feb./early March. First one fits well to start of melting season, but we miss ca. 1 month of melting at end of summer. Summer & winter balances corrected for this comparing stake readings at end of summer with stake readings, snow depths & pits at beginning of next winter.
AQ;HURD;3367;20050217;20040218;4.034;-120;90;Francisco Navarro;Universidad Polit‚cnica de Madrid (UPM)-ETSI Telecomunicaci¢n, Av. Complutense, 30, 28040 Madrid, Spain;;Measured twice per season, late Nov/early Dec. and late Feb./early March. First one fits well to start of melting season, but we miss ca. 1 month of melting at end of summer. Summer & winter balances corrected for this comparing stake readings at end of summer with stake readings, snow depths & pits at beginning of next winter.
AQ;HURD;3367;20060222;20050218;4.034;-860;70;Francisco Navarro;Universidad Polit‚cnica de Madrid (UPM)-ETSI Telecomunicaci¢n, Av. Complutense, 30, 28040 Madrid, Spain;;Measured twice per season, late Nov/early Dec. and late Feb./early March. First one fits well to start of melting season, but we miss ca. 1 month of melting at end of summer. Summer & winter balances corrected for this comparing stake readings at end of summer with stake readings, snow depths & pits at beginning of next winter.
AQ;HURD;3367;20070223;20060223;4.034;-540;70;Francisco Navarro;Universidad Polit‚cnica de Madrid (UPM)-ETSI Telecomunicaci¢n, Av. Complutense, 30, 28040 Madrid, Spain;;Measured twice per season, late Nov/early Dec. and late Feb./early March. First one fits well to start of melting season, but we miss ca. 1 month of melting at end of summer. Summer & winter balances corrected for this comparing stake readings at end of summer with stake readings, snow depths & pits at beginning of next winter.
AQ;HURD;3367;20080220;20070224;4.034;190;70;Navarro F. (UPM/ETSIT);UPM/ETSIT: ETSI Telecomunicación, Universidad Politécnica de Madrid;;Measured twice per season, late Nov/early Dec. and late Feb./early March. First one fits well to start of melting season, but we miss ca. 1 month of melting at end of summer. Summer & winter balances corrected for this comparing stake readings at end of summer with stake readings, snow depths & pits at beginning of next winter.
AQ;HURD;3367;20090210;20080221;4.034;-390;70;Navarro F. (UPM/ETSIT);UPM/ETSIT: ETSI Telecomunicación, Universidad Politécnica de Madrid;;Measured twice per season, late Nov/early Dec. and late Feb./early March. First one fits well to start of melting season, but we miss ca. 1 month of melting at end of summer. Summer & winter balances corrected for this comparing stake readings at end of summer with stake readings, snow depths & pits at beginning of next winter.
AQ;HURD;3367;20100225;20090211;4.034;540;70;Navarro F. (UPM/ETSIT);UPM/ETSIT: ETSI Telecomunicación, Universidad Politécnica de Madrid;;Measured twice per season, late Nov/early Dec. and late Feb./early March. First one fits well to start of melting season, but we miss ca. 1 month of melting at end of summer. Summer & winter balances corrected for this comparing stake readings at end of summer with stake readings, snow depths & pits at beginning of next winter.
AQ;HURD;3367;20110226;20100226;4.034;290;70;Navarro F. (UPM/ETSIT);UPM/ETSIT: ETSI Telecomunicación, Universidad Politécnica de Madrid;;Measured twice per season, late Nov/early Dec. and late Feb./early March. First one fits well to start of melting season, but we miss ca. 1 month of melting at end of summer. Summer & winter balances corrected for this comparing stake readings at end of summer with stake readings, snow depths & pits at beginning of next winter. MOST OF THE GLACIER BEHAVED AS ACCUMULATION AREA THIS YEAR, HENCE LOW NUMBER OF MEASUREMENTS ON ABLATION AREA (number of meas. on accum./ablat. areas referred to current year ELA).
AQ;HURD;3367;20120215;20110226;4.034;-190;70;Navarro F. (UPM/ETSIT);UPM/ETSIT: ETSI Telecomunicación, Universidad Politécnica de Madrid;;Measured twice per season, late Nov/early Dec. and late Feb./early March. First one fits well to start of melting season, but we miss ca. 1 month of melting at end of summer. Summer & winter balances corrected for this comparing stake readings at end of summer with stake readings, snow depths & pits at beginning of next winter.
AQ;HURD;3367;20130218;20120215;4.034;210;70;Navarro F. (UPM/ETSIT);UPM/ETSIT: ETSI Telecomunicación, Universidad Politécnica de Madrid;Unpublished;Measured twice per season, late Nov/early Dec. and late Feb./early March. First one usually fits well to start of melting season, but we miss ca. 1 month of melting at end of summer. Summer & winter balances corrected for this comparing stake readings at end of summer with stake readings, snow depths & pits at beginning of next winter.
AQ;JEREMY SYKES;3923;19729999;19719999;;20;;;;"Data from Cogley (2008, updated 2013) based on: Müller (1977); Fluctuations of Glaciers (1970-1975), Vol. III, 269 p.";
AQ;JEREMY SYKES;3923;19739999;19729999;;0;;;;"Data from Cogley (2008, updated 2013) based on: Müller (1977); Fluctuations of Glaciers (1970-1975), Vol. III, 269 p.";
AQ;JEREMY SYKES;3923;19749999;19739999;;-10;;;;"Data from Cogley (2008, updated 2013) based on: Müller (1977); Fluctuations of Glaciers (1970-1975), Vol. III, 269 p.";
AQ;JEREMY SYKES;3923;19759999;19749999;;20;;;;"Data from Cogley (2008, updated 2013) based on: Müller (1977); Fluctuations of Glaciers (1970-1975), Vol. III, 269 p.";
AQ;JOHNSONS;3366;20020109;20010220;5.358;20;70;Francisco Navarro;Universidad Polit‚cnica de Madrid (UPM)-ETSI Telecomunicaci¢n, Av. Complutense, 30, 28040 Madrid, Spain;;Measured twice per season, late Nov/early Dec. and late Feb./early March. First one fits well to start of melting season, but we miss ca. 1 month of melting at end of summer. Summer & winter balances corrected for this comparing stake readings at end of summer with stake readings, snow depths & pits at beginning of next winter.
AQ;JOHNSONS;3366;20030214;20020110;5.358;-160;70;Francisco Navarro;Universidad Polit‚cnica de Madrid (UPM)-ETSI Telecomunicaci¢n, Av. Complutense, 30, 28040 Madrid, Spain;;Measured twice per season, late Nov/early Dec. and late Feb./early March. First one fits well to start of melting season, but we miss ca. 1 month of melting at end of summer. Summer & winter balances corrected for this comparing stake readings at end of summer with stake readings, snow depths & pits at beginning of next winter.
AQ;JOHNSONS;3366;20040217;20030215;5.358;80;70;Francisco Navarro;Universidad Polit‚cnica de Madrid (UPM)-ETSI Telecomunicaci¢n, Av. Complutense, 30, 28040 Madrid, Spain;;Measured twice per season, late Nov/early Dec. and late Feb./early March. First one fits well to start of melting season, but we miss ca. 1 month of melting at end of summer. Summer & winter balances corrected for this comparing stake readings at end of summer with stake readings, snow depths & pits at beginning of next winter.
AQ;JOHNSONS;3366;20050217;20040218;5.358;220;70;Navarro F. (UPM/ETSIT);UPM/ETSIT: ETSI Telecomunicación, Universidad Politécnica de Madrid;;Measured twice per season, late Nov/early Dec. and late Feb./early March. First one fits well to start of melting season, but we miss ca. 1 month of melting at end of summer. Summer & winter balances corrected for this comparing stake readings at end of summer with stake readings, snow depths & pits at beginning of next winter.
AQ;JOHNSONS;3366;20060222;20050218;5.358;-330;70;Navarro F. (UPM/ETSIT);UPM/ETSIT: ETSI Telecomunicación, Universidad Politécnica de Madrid;;Measured twice per season, late Nov/early Dec. and late Feb./early March. First one fits well to start of melting season, but we miss ca. 1 month of melting at end of summer. Summer & winter balances corrected for this comparing stake readings at end of summer with stake readings, snow depths & pits at beginning of next winter.
AQ;JOHNSONS;3366;20070223;20060223;5.358;-290;70;Navarro F. (UPM/ETSIT);UPM/ETSIT: ETSI Telecomunicación, Universidad Politécnica de Madrid;;Measured twice per season, late Nov/early Dec. and late Feb./early March. First one fits well to start of melting season, but we miss ca. 1 month of melting at end of summer. Summer & winter balances corrected for this comparing stake readings at end of summer with stake readings, snow depths & pits at beginning of next winter.
AQ;JOHNSONS;3366;20080220;20070224;5.358;90;70;Navarro F. (UPM/ETSIT);UPM/ETSIT: ETSI Telecomunicación, Universidad Politécnica de Madrid;;Measured twice per season, late Nov/early Dec. and late Feb./early March. First one fits well to start of melting season, but we miss ca. 1 month of melting at end of summer. Summer & winter balances corrected for this comparing stake readings at end of summer with stake readings, snow depths & pits at beginning of next winter.
AQ;JOHNSONS;3366;20090210;20080221;5.358;-170;70;Navarro F. (UPM/ETSIT);UPM/ETSIT: ETSI Telecomunicación, Universidad Politécnica de Madrid;;Measured twice per season, late Nov/early Dec. and late Feb./early March. First one fits well to start of melting season, but we miss ca. 1 month of melting at end of summer. Summer & winter balances corrected for this comparing stake readings at end of summer with stake readings, snow depths & pits at beginning of next winter.
AQ;JOHNSONS;3366;20100228;20090211;5.358;510;70;Navarro F. (UPM/ETSIT);UPM/ETSIT: ETSI Telecomunicación, Universidad Politécnica de Madrid;;Measured twice per season, late Nov/early Dec. and late Feb./early March. First one fits well to start of melting season, but we miss ca. 1 month of melting at end of summer. Summer & winter balances corrected for this comparing stake readings at end of summer with stake readings, snow depths & pits at beginning of next winter. MOST OF THE GLACIER BEHAVED AS ACCUMULATION AREA THIS YEAR.
AQ;JOHNSONS;3366;20110302;20100228;5.358;500;70;Navarro F. (UPM/ETSIT);UPM/ETSIT: ETSI Telecomunicación, Universidad Politécnica de Madrid;;Measured twice per season, late Nov/early Dec. and late Feb./early March. First one fits well to start of melting season, but we miss ca. 1 month of melting at end of summer. Summer & winter balances corrected for this comparing stake readings at end of summer with stake readings, snow depths & pits at beginning of next winter. MOST OF THE GLACIER BEHAVED AS ACCUMULATION AREA THIS YEAR, HENCE LOW NUMBER OF MEASUREMENTS ON ABLATION AREA (number of meas. on accum./ablat. areas referred to current year ELA).
AQ;JOHNSONS;3366;20120217;20110301;5.358;400;70;Navarro F. (UPM/ETSIT);UPM/ETSIT: ETSI Telecomunicación, Universidad Politécnica de Madrid;;Measured twice per season, late Nov/early Dec. and late Feb./early March. First one fits well to start of melting season, but we miss ca. 1 month of melting at end of summer. Summer & winter balances corrected for this comparing stake readings at end of summer with stake readings, snow depths & pits at beginning of next winter.
AQ;JOHNSONS;3366;20130218;20120217;5.358;390;70;Navarro F. (UPM/ETSIT);UPM/ETSIT: ETSI Telecomunicación, Universidad Politécnica de Madrid;Unpublished;Measured twice per season, late Nov/early Dec. and late Feb./early March. First one usually fits well to start of melting season, but we miss ca. 1 month of melting at end of summer. Summer & winter balances corrected for this comparing stake readings at end of summer with stake readings, snow depths & pits at beginning of next winter.
AQ;LITTLE DOME;3962;19929999;19919999;;163;;;;"Data from Cogley (2008, updated 2013) based on: Wen et al. (1998); Annals of Glaciology, 27, 105-109 p.";
AQ;MESERVE MPII;892;19669999;19659999;;-610;;;;"Data from Cogley (2008, updated 2013) based on: Bull et al. (1970); International Association of Scientific Hydrology Publications, 86, 429-446 p.";
AQ;SPARTAN;3943;19719999;19709999;;-86;;;;"Data from Cogley (2008, updated 2013) based on: Jamieson et al. (1983); British Antarctic Survey Bulletin, 52, 155-186 p.";
AQ;SPARTAN;3943;19729999;19719999;;-108;;;;"Data from Cogley (2008, updated 2013) based on: Jamieson et al. (1983); British Antarctic Survey Bulletin, 52, 155-186 p.";
AQ;SPARTAN;3943;19739999;19729999;;-189;;;;"Data from Cogley (2008, updated 2013) based on: Jamieson et al. (1983); British Antarctic Survey Bulletin, 52, 155-186 p.";
AQ;SPARTAN;3943;19749999;19739999;;-62;;;;"Data from Cogley (2008, updated 2013) based on: Jamieson et al. (1983); British Antarctic Survey Bulletin, 52, 155-186 p.";
AQ;STRANDLINE;3970;19899999;19889999;;-17;;;;"Data from Cogley (2008, updated 2013) based on: Baroni et al. (1995); Terra Antarctica, 2(1), 41-47 p.";
AQ;STRANDLINE;3970;19909999;19899999;;-45;;;;"Data from Cogley (2008, updated 2013) based on: Baroni et al. (1995); Terra Antarctica, 2(1), 41-47 p.";
AQ;STRANDLINE;3970;19919999;19909999;;-102;;;;"Data from Cogley (2008, updated 2013) based on: Baroni et al. (1995); Terra Antarctica, 2(1), 41-47 p.";
AQ;STRANDLINE;3970;19929999;19919999;;19;;;;"Data from Cogley (2008, updated 2013) based on: Baroni et al. (1995); Terra Antarctica, 2(1), 41-47 p.";
AQ;STRANDLINE;3970;19939999;19929999;;110;;;;"Data from Cogley (2008, updated 2013) based on: Baroni et al. (1995); Terra Antarctica, 2(1), 41-47 p.";
AQ;TARN FLAT;3971;19919999;19909999;;-173;;;;"Data from Cogley (2008, updated 2013) based on: Baroni et al. (1995); Terra Antarctica, 2(1), 41-47 p.";
AQ;TARN FLAT;3971;19929999;19919999;;-59;;;;"Data from Cogley (2008, updated 2013) based on: Baroni et al. (1995); Terra Antarctica, 2(1), 41-47 p.";Multi-annual observation (-118 mm w.e.) evenly distributed to corresponding years.
AQ;TARN FLAT;3971;19939999;19929999;;-59;;;;"Data from Cogley (2008, updated 2013) based on: Baroni et al. (1995); Terra Antarctica, 2(1), 41-47 p.";Multi-annual observation (-118 mm w.e.) evenly distributed to corresponding years.
AR;BROWN SUPERIOR;3903;20089999;20079999;0.221;-537;;Cabrera G. (IANIGLA), Leiva J. (IANIGLA);IANIGLA: Instituto Argentino de Nivología, Glaciología y Ciencias Ambientales, CCT CONICET Mendoza;;
AR;BROWN SUPERIOR;3903;20099999;20089999;0.223;-997;;Cabrera G. (IANIGLA), Leiva J. (IANIGLA);IANIGLA: Instituto Argentino de Nivología, Glaciología y Ciencias Ambientales, CCT CONICET Mendoza;;
