"PU","NAME","WGMS_ID","SURVEY_DATE","REFERENCE_DATE","AREA","ANNUAL_BALANCE","ANNUAL_BALANCE_UNC","INVESTIGATOR","SPONS_AGENCY","REFERENCE","REMARKS"
"AQ","ALBERICH",1062,19720118.0000000,19710206.0000000,1.3600000,20,,,,"Data from Dyurgerov, M.(2002): [3] For detailed reference information consult Dyurgerov's Appendix 1!",
"AQ","ALBERICH",1062,19730122.0000000,19720118.0000000,1.3600000,30,,,,"Data from Dyurgerov, M.(2002): [3] For detailed reference information consult Dyurgerov's Appendix 1!",
"AQ","ALBERICH",1062,19740122.0000000,19730122.0000000,1.3600000,-20,,,,"Data from Dyurgerov, M.(2002): [3] For detailed reference information consult Dyurgerov's Appendix 1!",
"AQ","ALBERICH",1062,19750110.0000000,19740122.0000000,1.3600000,10,,,,"Data from Dyurgerov, M.(2002): [3] For detailed reference information consult Dyurgerov's Appendix 1!",
"AQ","ANVERS I ICE CAP",3954,19669999.0000000,19659999.0000000,,44,,,,"Data from Cogley (2008, updated 2013) based on: Rundle (1970); International Association of Scientific Hydrology Publications, 86, 377-390 p.","Multi-annual observation (87 mm w.e.) evenly distributed to corresponding years."
"AQ","ANVERS I ICE CAP",3954,19679999.0000000,19669999.0000000,,44,,,,"Data from Cogley (2008, updated 2013) based on: Rundle (1970); International Association of Scientific Hydrology Publications, 86, 377-390 p.","Multi-annual observation (87 mm w.e.) evenly distributed to corresponding years."
"AQ","BAHIA DEL DIABLO",2665,20000229.0000000,19990301.0000000,12.9000000,-570,30.00000,"Skvarca P. (IAA), De Angelis H. (IAA), Ermolin E. (IAA)","IAA: División Glaciología, Instituto Antártico Argentino",,"Series has been revised according to new glacier area (Marinsek, 2013)"
"AQ","BAHIA DEL DIABLO",2665,20010228.0000000,20000301.0000000,12.9000000,-60,30.00000,"Skvarca P. (IAA), De Angelis H. (IAA), Ermolin E. (IAA)","IAA: División Glaciología, Instituto Antártico Argentino",,"Series has been revised according to new glacier area (Marinsek, 2013)"
"AQ","BAHIA DEL DIABLO",2665,20020228.0000000,20010301.0000000,12.9000000,-560,30.00000,"Skvarca P. (IAA), De Angelis H. (IAA), Ermolin E. (IAA)","IAA: División Glaciología, Instituto Antártico Argentino",,"Series has been revised according to new glacier area (Marinsek, 2013)"
"AQ","BAHIA DEL DIABLO",2665,20030228.0000000,20020301.0000000,12.9000000,-180,30.00000,"Skvarca P. (IAA), De Angelis H. (IAA), Ermolin E. (IAA)","IAA: División Glaciología, Instituto Antártico Argentino",,"Series has been revised according to new glacier area (Marinsek, 2013)"
"AQ","BAHIA DEL DIABLO",2665,20040229.0000000,20030301.0000000,12.9000000,-120,30.00000,"Skvarca P. (IAA), Ermolin E. (IAA)","IAA: División Glaciología, Instituto Antártico Argentino",,"Series has been revised according to new glacier area (Marinsek, 2013)"
"AQ","BAHIA DEL DIABLO",2665,20050228.0000000,20040301.0000000,12.9000000,-140,30.00000,"Skvarca P. (IAA), Ermolin E. (IAA)","IAA: División Glaciología, Instituto Antártico Argentino",,"Series has been revised according to new glacier area (Marinsek, 2013)"
"AQ","BAHIA DEL DIABLO",2665,20060228.0000000,20050301.0000000,12.9000000,-450,30.00000,"Skvarca P. (IAA), Ermolin E. (IAA)","IAA: División Glaciología, Instituto Antártico Argentino",,"Series has been revised according to new glacier area (Marinsek, 2013)"
"AQ","BAHIA DEL DIABLO",2665,20070228.0000000,20060301.0000000,12.9000000,-140,30.00000,"Skvarca P. (IAA), Ermolin E. (IAA)","IAA: División Glaciología, Instituto Antártico Argentino",,"Series has been revised according to new glacier area (Marinsek, 2013)"
"AQ","BAHIA DEL DIABLO",2665,20080229.0000000,20070301.0000000,12.9000000,-440,30.00000,"Skvarca P. (IAA), Ermolin E. (IAA), Marinsek S. (IAA)","IAA: División Glaciología, Instituto Antártico Argentino",,"Series has been revised according to new glacier area (Marinsek, 2013)"
"AQ","BAHIA DEL DIABLO",2665,20090228.0000000,20080301.0000000,12.9000000,-330,30.00000,"Skvarca P. (IAA), Ermolin E. (IAA), Marinsek S. (IAA)","IAA: División Glaciología, Instituto Antártico Argentino",,"Series has been revised according to new glacier area (Marinsek, 2013)"
"AQ","BAHIA DEL DIABLO",2665,20100228.0000000,20090301.0000000,12.9000000,370,30.00000,"Skvarca P. (IAA-DNA), Ermolin E. (IAA-DNA), Marinsek S. (IAA-DNA)","IAA-DNA: Instituto Antártico Argentino - Dirección Nacional del Antártico",,"Series has been revised according to new glacier area (Marinsek, 2013)"
"AQ","BAHIA DEL DIABLO",2665,20110228.0000000,20100301.0000000,12.9000000,20,30.00000,"Skvarca P. (IAA-DNA), Ermolin E. (IAA-DNA), Marinsek S. (IAA-DNA)","IAA-DNA: Instituto Antártico Argentino - Dirección Nacional del Antártico",,"Series has been revised according to new glacier area (Marinsek, 2013)"
"AQ","BAHIA DEL DIABLO",2665,20120228.0000000,20110301.0000000,12.9000000,-20,30.00000,"Marinsek S. (IAA-DG)","IAA-DG: Departamento de Glaciología, Instituto Antártico Argentino","WGMS (2015): GGCB No. 1 (2012-2013).",
"AQ","BAHIA DEL DIABLO",2665,20130228.0000000,20120301.0000000,12.9000000,100,30.00000,"Skvarca P. (IAA-DG), Ermolin E. (IAA-DG), Marinsek S. (IAA-DG), Seco J. (IAA-DG)","IAA-DG: Departamento de Glaciología, Instituto Antártico Argentino","WGMS (2015): GGCB No. 1 (2012-2013).",
